0枚听牌形
总数：0

1枚听牌形
总数：0

2枚听牌形
总数：0

3枚听牌形
总数：0

4枚听牌形
总数：0

5枚听牌形
总数：0

6枚听牌形
总数：0

7枚听牌形
1111222      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111333      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1112222      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1112223      	待牌：1234     	单骑待牌：3        	双碰待牌：12       	两面待牌：124      
1112224      	待牌：34       	单骑待牌：4        	双碰待牌：0        	两面待牌：3        
1112225      	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
1112226      	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
1112227      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1112228      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1112229      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1112333      	待牌：1234     	单骑待牌：2        	双碰待牌：13       	两面待牌：134      
1112444      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112555      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112666      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112777      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112888      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112999      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1113333      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1113334      	待牌：245      	单骑待牌：4        	双碰待牌：0        	两面待牌：25       
1113335      	待牌：45       	单骑待牌：5        	双碰待牌：0        	两面待牌：4        
1113336      	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
1113337      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1113338      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1113339      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1113444      	待牌：235      	单骑待牌：3        	双碰待牌：0        	两面待牌：25       
1113555      	待牌：234      	单骑待牌：3        	双碰待牌：0        	两面待牌：24       
1113666      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1113777      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1113888      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1113999      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1114445      	待牌：356      	单骑待牌：5        	双碰待牌：0        	两面待牌：36       
1114446      	待牌：56       	单骑待牌：6        	双碰待牌：0        	两面待牌：5        
1114447      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1114448      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1114449      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1114555      	待牌：346      	单骑待牌：4        	双碰待牌：0        	两面待牌：36       
1114666      	待牌：45       	单骑待牌：4        	双碰待牌：0        	两面待牌：5        
1114777      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1114888      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1114999      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1115556      	待牌：467      	单骑待牌：6        	双碰待牌：0        	两面待牌：47       
1115557      	待牌：67       	单骑待牌：7        	双碰待牌：0        	两面待牌：6        
1115558      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1115559      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1115666      	待牌：457      	单骑待牌：5        	双碰待牌：0        	两面待牌：47       
1115777      	待牌：56       	单骑待牌：5        	双碰待牌：0        	两面待牌：6        
1115888      	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
1115999      	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
1116667      	待牌：578      	单骑待牌：7        	双碰待牌：0        	两面待牌：58       
1116668      	待牌：78       	单骑待牌：8        	双碰待牌：0        	两面待牌：7        
1116669      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1116777      	待牌：568      	单骑待牌：6        	双碰待牌：0        	两面待牌：58       
1116888      	待牌：67       	单骑待牌：6        	双碰待牌：0        	两面待牌：7        
1116999      	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
1117778      	待牌：689      	单骑待牌：8        	双碰待牌：0        	两面待牌：69       
1117779      	待牌：89       	单骑待牌：9        	双碰待牌：0        	两面待牌：8        
1117888      	待牌：679      	单骑待牌：7        	双碰待牌：0        	两面待牌：69       
1117999      	待牌：78       	单骑待牌：7        	双碰待牌：0        	两面待牌：8        
1118889      	待牌：79       	单骑待牌：9        	双碰待牌：0        	两面待牌：7        
1118999      	待牌：78       	单骑待牌：8        	双碰待牌：0        	两面待牌：7        
1222333      	待牌：123      	单骑待牌：1        	双碰待牌：23       	两面待牌：23       
1222444      	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1222555      	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1222666      	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1222777      	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1222888      	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1222999      	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1333444      	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1333555      	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1333666      	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1333777      	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1333888      	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1333999      	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1444555      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1444666      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1444777      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1444888      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1444999      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1555666      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1555777      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1555888      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1555999      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1666777      	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
