0枚听牌形
总数：0

1枚听牌形
1            	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
2            	待牌：2        	单骑待牌：2        	双碰待牌：0        	两面待牌：0        
3            	待牌：3        	单骑待牌：3        	双碰待牌：0        	两面待牌：0        
4            	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
5            	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
6            	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
7            	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
8            	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
9            	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
总数：9

2枚听牌形
12           	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
13           	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
23           	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
24           	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
34           	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
35           	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
45           	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
46           	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
56           	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
57           	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
67           	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
68           	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
78           	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
79           	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
89           	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
总数：15

3枚听牌形
总数：0

4枚听牌形
1122         	待牌：12       	单骑待牌：0        	双碰待牌：12       	两面待牌：0        
1123         	待牌：14       	单骑待牌：1        	双碰待牌：0        	两面待牌：14       
1124         	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
