0枚听牌形
总数：0

1枚听牌形
总数：0

2枚听牌形
总数：0

3枚听牌形
总数：0

4枚听牌形
1112         	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1113         	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1114         	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1115         	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
1116         	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
1117         	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1118         	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1119         	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1222         	待牌：13       	单骑待牌：1        	双碰待牌：0        	两面待牌：3        
1333         	待牌：12       	单骑待牌：1        	双碰待牌：0        	两面待牌：2        
1444         	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1555         	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1666         	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1777         	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1888         	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
1999         	待牌：1        	单骑待牌：1        	双碰待牌：0        	两面待牌：0        
2223         	待牌：134      	单骑待牌：3        	双碰待牌：0        	两面待牌：14       
2224         	待牌：34       	单骑待牌：4        	双碰待牌：0        	两面待牌：3        
2225         	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
2226         	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
2227         	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
2228         	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
2229         	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
2333         	待牌：124      	单骑待牌：2        	双碰待牌：0        	两面待牌：14       
2444         	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
2555         	待牌：2        	单骑待牌：2        	双碰待牌：0        	两面待牌：0        
2666         	待牌：2        	单骑待牌：2        	双碰待牌：0        	两面待牌：0        
2777         	待牌：2        	单骑待牌：2        	双碰待牌：0        	两面待牌：0        
2888         	待牌：2        	单骑待牌：2        	双碰待牌：0        	两面待牌：0        
2999         	待牌：2        	单骑待牌：2        	双碰待牌：0        	两面待牌：0        
3334         	待牌：245      	单骑待牌：4        	双碰待牌：0        	两面待牌：25       
3335         	待牌：45       	单骑待牌：5        	双碰待牌：0        	两面待牌：4        
